Humidity,Wind Speed,Pressure,Previous Temp,Cloud Cover,Temperature
49,8.9297297321183,997,10,89,20
54,8.37526798098181,1007,21,70,31
97,4.177849058375267,1023,30,78,19
30,5.440672898611082,1009,39,75,33
60,2.428628671783428,1004,11,53,18
78,3.5992924211515143,1029,10,74,24
38,1.501331149388761,992,38,8,23
45,7.307187081836437,1019,19,2,31
88,8.293105598946058,1004,10,18,33
79,1.7295326243974536,992,12,70,11
45,2.6642680751510266,1016,32,30,31
34,1.508952495100666,1001,35,61,37
83,1.398776059721555,1001,34,85,31
82,9.168696077754943,991,10,5,33
87,7.700022695564319,1001,10,90,29
95,7.879041238141414,1006,27,65,17
67,7.702996817936806,1016,33,86,16
36,7.2784590197466255,999,24,88,11
57,2.4903447837486397,995,30,79,26
53,3.8620111196829567,1000,19,96,14
56,7.672392211492444,1002,20,2,33
65,6.660737087191129,998,36,41,17
54,4.280158042226905,1018,28,31,23
52,1.5739571475507894,1009,11,74,15
57,5.009404523123659,994,19,69,22
37,1.6248017466190898,1007,31,25,12
70,1.9764745090035696,1012,34,74,37
64,3.6310036704171873,1019,13,43,12
73,7.1165062000013855,1004,30,7,28
84,9.838721414733746,1008,17,77,39
48,2.900242670110104,1010,26,77,30
33,8.388629520764532,1022,38,1,19
49,8.323557840369032,1007,31,72,22
78,8.030443986474145,993,17,26,26
32,7.399190090900551,1012,17,13,23
90,1.3659728682003787,1001,33,87,14
55,1.9694352584051384,1010,31,85,38
43,9.32987722932528,1000,24,41,32
87,3.595638458609647,995,37,62,12
75,6.518211105155462,992,35,32,30
58,2.700534759066133,1020,13,69,36
30,6.170571139644446,1016,12,29,38
38,8.973410592380116,1007,37,42,10
97,1.0066993926824566,1000,32,64,14
97,4.936497818947487,1014,30,9,10
70,2.5423334596740443,1002,36,87,23
76,9.090748475026665,1024,29,18,30
85,1.2667916423350642,1001,10,6,28
63,7.074577567771234,1005,25,82,25
86,6.472010923781109,995,15,32,32
67,2.9640036226166715,1014,28,76,17
85,9.587313329482072,1006,36,82,39
75,4.2060026122475875,1018,33,35,11
94,8.512438876526156,1020,39,7,21
32,6.657733577778892,999,12,87,25
54,9.34237229200939,1012,12,5,15
76,5.060404343660756,995,36,19,36
88,3.978939676751814,1019,31,91,30
60,5.034621639638469,1023,14,63,39
98,3.8958721120164674,1017,33,16,34
47,7.555349473046345,1007,30,13,24
37,1.1590862309581544,1001,24,80,37
49,8.37415495817935,1011,15,59,31
52,9.398600475393913,994,29,52,36
66,2.127009246344798,1026,30,97,36
85,2.5972010999083555,1002,29,73,12
91,3.0707400099327313,1012,22,11,32
51,5.909730363261377,1002,22,48,36
54,1.1943415493674574,1017,22,1,39
43,8.308444032411849,1028,27,59,24
37,9.992138144441135,1011,14,21,31
82,7.89367737685939,1022,14,53,10
71,2.9789732501208137,1015,35,2,22
80,9.721571586606236,1001,25,66,35
32,9.75322762981591,1013,23,11,10
92,9.858496963007209,1014,10,73,38
71,1.0443611534976642,1018,35,2,28
89,4.7259982736338095,992,37,13,28
53,5.172326148470148,990,29,13,33
84,2.5512239695242247,991,10,19,23
80,5.252243640047125,1008,18,52,37
85,4.986281657736076,1016,23,26,28
86,2.0531494543208293,1028,37,29,23
94,9.081077332068187,1009,10,89,35
49,1.9186907241937123,1003,22,66,31
80,9.109652800867035,1024,38,70,32
39,1.5329726521028797,991,31,12,31
43,9.613993041923852,1028,38,23,38
53,2.2281411973674423,999,35,79,22
40,5.657607879044734,1016,33,64,33
38,2.7524283758241737,1015,11,86,36
35,9.030470580539589,992,30,46,36
96,4.044197329240329,1015,20,0,27
91,8.937468975984572,1015,17,81,28
47,6.256591540453795,1011,37,73,18
56,2.1327615769426624,1022,29,25,32
57,9.425830634901294,991,23,83,31
73,5.6594971992268865,1005,27,50,17
86,5.686486836912228,1008,35,80,24
67,8.010966973473858,1014,20,82,39
